id,value1,value2
1,33,2,87
2,36,68,26
3,28,12,24
4,8,19,62
5,89,61,50
6,7,31,3
7,24,48,58
8,81,56,47
9,25,38,92
10,99,36,20
11,9,33,18
12,31,52,49
13,39,34,5
14,79,3,25
15,90,48,59
16,75,11,20
17,47,26,9
18,31,68,76
19,69,4,17
20,1,59,42
21,57,56,61
22,3,31,21
23,47,85,12
24,83,40,2
25,62,58,4
26,14,52,10
27,54,6,40
28,86,69,93
29,49,92,1
30,1,65,23
31,51,57,5
32,51,40,19
33,31,32,22
34,18,66,8
35,5,8,83
36,99,72,8
37,26,98,82
38,80,7,9
39,9,84,27
40,28,8,33
41,71,91,37
42,58,97,24
43,45,67,61
44,80,68,12
45,88,54,57
46,68,18,65
47,14,61,95
48,20,47,55
49,52,59,48
50,22,73,76
51,3,89,49
52,84,61,6
53,49,32,65
54,75,76,24
55,55,88,84
56,7,20,2
57,45,47,90
58,43,6,12
59,84,79,33
60,85,99,74
61,84,89,65
62,98,87,64
63,22,44,82
64,15,88,26
65,18,8,45
66,97,49,1
67,52,82,17
68,1,89,72
69,72,7,20
70,77,70,10
71,9,3,27
72,64,45,11
73,7,100,37
74,99,17,51
75,41,84,48
76,70,1,52
77,15,86,31
78,2,86,79
79,60,89,27
80,89,69,45
81,13,30,29
82,68,49,32
83,85,16,37
84,1,1,56
85,27,6,40
86,52,98,82
87,27,4,75
88,14,77,100
89,4,10,2
90,6,59,8
91,80,74,97
92,30,2,3
93,79,51,61
94,16,17,54
95,78,83,3
96,58,94,82
97,95,95,93
98,98,26,32
99,10,76,95
100,84,10,93
101,57,97,40
102,77,5,94
103,12,52,60
104,25,75,15
105,61,70,54
106,46,19,27
107,1,36,41
108,85,7,39
109,9,12,5
110,84,14,10
111,51,81,59
112,84,42,16
113,67,12,50
114,94,40,1
115,73,43,56
116,42,73,21
117,20,47,95
118,52,16,13
119,22,46,38
120,44,86,31
121,42,80,80
122,61,72,55
123,16,7,37
124,66,59,10
125,100,11,64
126,6,21,41
127,34,26,26
128,81,89,15
129,3,100,67
130,96,94,53
131,11,91,91
132,37,5,55
133,93,31,80
134,22,96,63
135,37,74,73
136,8,12,71
137,52,89,22
138,49,43,62
139,43,82,10
140,6,66,87
141,67,3,1
142,44,84,56
143,28,80,48
144,1,67,46
145,50,12,59
146,85,41,33
147,54,18,35
148,90,79,36
149,10,19,50
150,50,11,19
151,89,46,16
152,58,85,35
153,88,95,15
154,39,63,9
155,89,85,88
156,96,53,82
157,29,25,48
158,96,11,40
159,69,21,69
160,5,92,52
161,32,30,31
162,74,27,40
163,96,95,11
164,76,62,84
165,71,48,4
166,8,58,65
167,32,26,82
168,16,73,34
169,17,81,41
170,91,10,22
171,10,52,34
172,55,85,16
173,53,34,90
174,17,31,67
175,52,31,78
176,30,24,58
177,61,50,32
178,48,7,26
179,83,64,5
180,7,69,36
181,56,5,77
182,35,76,81
183,24,3,96
184,55,21,94
185,22,1,88
186,49,38,7
187,90,20,99
188,88,82,86
189,23,71,67
190,48,60,95
191,42,27,21
192,35,10,55
193,21,23,53
194,58,92,54
195,70,71,33
196,79,41,11
197,95,47,81
198,49,67,22
199,93,72,74
200,53,90,88
201,15,17,81
202,25,13,75
203,85,35,88
204,22,82,18
205,10,25,9
206,49,85,1
207,7,87,61
208,31,2,88
209,32,86,23
210,88,61,56
211,72,1,68
212,30,69,63
213,85,96,82
214,90,47,36
215,42,87,73
216,72,43,85
217,75,1,80
218,81,40,22
219,65,60,5
220,53,59,96
221,41,97,81
222,36,46,88
223,30,93,28
224,75,32,30
225,27,19,84
226,40,32,38
227,77,61,81
228,41,67,12
229,56,92,15
230,99,4,67
231,54,94,69
232,62,15,38
233,91,43,45
234,46,45,36
235,7,48,88
236,29,59,59
237,65,63,50
238,87,19,29
239,18,61,6
240,50,28,94
241,93,97,39
242,45,40,95
243,4,80,92
244,61,77,45
245,22,41,13
246,51,90,16
247,66,22,10
248,24,84,21
249,88,43,93
250,85,33,56
251,77,14,86
252,27,36,69
253,60,9,13
254,54,2,77
255,4,74,81
256,39,35,13
257,23,80,5
258,78,9,13
259,94,86,45
260,36,96,23
261,94,22,70
262,47,9,53
263,17,55,51
264,70,62,41
265,71,4,39
266,7,59,6
267,88,97,8
268,20,28,52
269,11,41,76
270,40,21,20
271,87,73,60
272,52,80,91
273,38,52,86
274,91,69,81
275,82,79,32
276,63,97,94
277,87,65,83
278,45,70,48
279,38,20,32
280,19,95,36
281,19,77,47
282,27,78,22
283,81,88,25
284,8,27,6
285,67,37,88
286,61,90,11
287,48,75,84
288,80,80,97
289,56,46,14
290,56,98,56
291,97,14,90
292,79,72,91
293,69,48,25
294,71,18,54
295,97,86,30
296,23,34,76
297,47,40,69
298,63,24,29
299,88,82,61
300,83,23,100
301,11,83,93
302,82,25,66
303,48,40,45
304,47,82,81
305,58,69,71
306,10,95,45
307,16,2,96
308,31,10,42
309,82,52,60
310,98,25,33
311,100,51,37
312,71,65,34
313,57,99,91
314,61,25,71
315,28,32,25
316,57,51,88
317,19,20,93
318,84,67,31
319,34,48,91
320,60,67,83
321,100,99,43
322,75,42,50
323,63,41,57
324,40,97,99
325,67,72,95
326,66,60,50
327,55,54,13
328,73,54,22
329,1,74,37
330,13,21,20
331,7,20,7
332,95,7,8
333,4,32,40
334,98,11,19
335,77,40,41
336,82,32,97
337,11,77,64
338,95,13,35
339,92,100,89
340,86,97,17
341,71,33,36
342,3,55,27
343,100,88,39
344,63,5,18
345,82,23,68
346,71,77,22
347,85,99,8
348,74,84,73
349,13,44,93
