id,value1,value2
1,59,91,66
2,100,65,91
3,10,34,34
4,62,23,66
5,8,15,79
6,83,51,57
7,41,88,5
8,88,27,64
9,45,27,69
10,51,91,87
11,1,88,1
12,73,44,83
13,84,44,65
14,98,41,37
15,9,45,54
16,85,15,80
17,48,39,37
18,13,46,61
19,96,84,67
20,3,32,66
21,10,48,79
22,94,32,15
23,28,33,96
24,26,59,8
25,61,98,31
26,53,59,93
27,3,39,2
28,23,53,72
29,83,9,48
30,2,39,41
31,89,75,54
32,43,71,37
33,24,15,50
34,79,50,21
35,29,54,77
36,77,79,88
37,7,32,27
38,86,13,94
39,25,4,68
40,34,8,24
41,36,35,91
42,51,40,45
43,15,54,31
44,45,49,21
45,66,52,98
46,34,23,22
47,9,11,18
48,75,76,72
49,57,36,35
50,65,50,26
51,11,58,10
52,43,30,37
53,92,51,44
54,42,28,28
55,25,68,47
56,79,31,17
57,47,66,10
58,30,6,13
59,67,75,39
60,16,23,79
61,62,72,93
62,86,25,40
63,96,77,62
64,12,37,51
65,44,67,96
66,91,59,66
67,57,97,8
68,78,96,80
69,61,27,50
70,44,2,63
71,69,84,36
72,100,49,11
73,39,24,82
74,79,80,85
75,43,73,87
76,39,82,34
77,40,6,30
78,24,24,58
79,4,36,23
80,64,83,79
81,96,61,26
82,86,20,36
83,11,72,14
84,26,95,2
85,96,100,95
86,54,99,3
87,80,98,77
88,24,33,35
89,83,100,27
90,98,80,95
91,89,95,6
92,35,45,97
93,89,73,98
94,67,30,41
95,53,6,1
96,54,32,90
97,97,66,84
98,21,17,95
99,66,29,5
100,97,61,17
101,19,12,89
102,20,90,42
103,21,36,13
104,14,47,69
105,10,30,13
106,73,28,12
107,36,69,92
108,62,29,9
109,52,28,24
110,63,63,73
111,41,89,86
112,24,68,15
113,12,41,91
114,93,22,9
115,23,94,60
116,40,88,73
117,18,57,97
118,76,57,80
119,45,70,67
120,97,73,16
121,28,22,55
122,49,56,89
123,60,84,97
124,12,99,37
125,38,18,43
126,59,22,100
127,19,19,83
128,66,91,78
129,70,10,35
130,46,51,83
131,47,23,13
